1;GEMAN151-B;Mathematical Analysis I.;3;2;5
2;GEMAN102-B;Linear Algebra; Discrete Mathematics;3;2;6
3;GEIAL311-B;Basics of Programming;3;2;5
4;GEIAL301-B;Computer Architectures;2;2;5
5;GEIAK100-B;Engineering Communication;2;2;5
6;GTGKG600-GB;Principles of Economics;1;1;2
7;GEFIT555-B;History of Physics;2;0;2
8;ETTES1GE1;Physical Education;0;2;0
